Agency name;Country;Link;Players;Players 1st tier;Rumors;Total market value;ø-Market value;Street;ZIP, location;Phone;Fax;Email;Website
Global Sport Management Group;Panama;https://www.transfermarkt.com/berater/beraterfirma?id=6045;19;13;-;€2.78m;€146k;-;-;-;-;-;-
Tactic agency;Egypt;https://www.transfermarkt.com/berater/beraterfirma?id=11038;16;11;-;€2.78m;€173k;-;-;-;-;-;-
GOALINONE;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=11036;12;8;-;€2.78m;€231k;-;-;-;-;-;-
SCI - Nikola Mandic;Australia;https://www.transfermarkt.com/berater/beraterfirma?id=5597;18;7;-;€2.78m;€154k;-;-;-;-;-;-
AS Sports Communication&Consulting;Azerbaijan;https://www.transfermarkt.com/berater/beraterfirma?id=4905;8;6;-;€2.78m;€347k;-;-;-;-;-;-
KA-Sportmanagement;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=2918;12;5;-;€2.78m;€231k;-;-;-;-;-;-
Parente Scouting Srl;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=7098;5;2;-;€2.78m;€555k;-;-;-;-;-;-
Estilo 10 Football Management;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=11114;4;1;-;€2.78m;€694k;-;-;-;-;-;-
JHEYMAN SPORTS;Mexico;https://www.transfermarkt.com/berater/beraterfirma?id=9190;7;6;-;€2.75m;€393k;-;-;-;-;-;-
Basesports Management;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=9996;15;7;-;€2.73m;€182k;-;-;-;-;-;-
D-Sports;Russia;https://www.transfermarkt.com/berater/beraterfirma?id=3936;14;7;-;€2.73m;€195k;-;-;-;-;-;-
IDEaLSoccer69;Slovenia;https://www.transfermarkt.com/berater/beraterfirma?id=11925;5;1;-;€2.73m;€545k;-;-;-;-;-;-
DJM Sports Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=8499;21;8;1;€2.70m;€129k;-;-;-;-;-;-
Mauricio Méndez;Chile;https://www.transfermarkt.com/berater/beraterfirma?id=11503;15;4;-;€2.70m;€180k;-;-;-;-;-;-
Meksportsagency;Sweden;https://www.transfermarkt.com/berater/beraterfirma?id=12663;3;3;-;€2.70m;€900k;-;-;46722893325;-;meksportsagency@hotmail.com;-
TrustIn Management;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=8672;2;2;-;€2.70m;€1.35m;-;-;-;-;-;-
Khansway;Turkmenistan;https://www.transfermarkt.com/berater/beraterfirma?id=8378;32;-;-;€2.70m;€84k;-;-;-;-;-;-
The Players Club;South Africa;https://www.transfermarkt.com/berater/beraterfirma?id=6070;21;11;-;€2.68m;€127k;-;-;-;-;-;-
Zfagency;France;https://www.transfermarkt.com/berater/beraterfirma?id=11482;5;5;-;€2.68m;€535k;-;-;-;-;-;-
Fútbol & Business Hub;Chile;https://www.transfermarkt.com/berater/beraterfirma?id=12180;11;4;-;€2.68m;€243k;-;-;-;-;-;-
CLASSICOO M Z I PLAYERS AGENT L.L.C;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=11947;11;6;-;€2.65m;€241k;P.O. Box 88882 - Bur Dubai -;99247, Dubai;9,71568E+11;-;bouameurmadjid@gmail.com;-
Granja Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=11941;7;3;-;€2.65m;€379k;-;-;-;-;-;-
Bloom Soccer;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=1464;16;1;-;€2.65m;€166k;-;-;-;-;-;-
CCM Sports Agency;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=5814;3;1;-;€2.65m;€883k;-;-;-;-;-;-
OFP OMNIA FOOTBALL PLAYERS';Italy;https://www.transfermarkt.com/berater/beraterfirma?id=5504;7;1;-;€2.65m;€379k;-;-;-;-;-;-
SE SPORT MANAGEMENT;Canada;https://www.transfermarkt.com/berater/beraterfirma?id=7473;14;9;-;€2.64m;€188k;-;-;-;-;-;-
Yaroslav Zvarych;Ukraine;https://www.transfermarkt.com/berater/beraterfirma?id=9970;20;6;-;€2.64m;€132k;-;-;-;-;-;-
MIC.CO FOOTBALL STAR;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=11332;54;1;-;€2.63m;€49k;-;-;-;-;-;-
HARUNAS ISMAC Agency;Ghana;https://www.transfermarkt.com/berater/beraterfirma?id=10985;36;13;-;€2.63m;€73k;-;-;-;-;-;-
BYPARGENTINA;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=9236;22;6;-;€2.63m;€119k;-;-;-;-;-;-
Passion Sport Management;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=9601;6;4;-;€2.63m;€438k;-;-;-;-;-;-
Velasco Sport Group;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=5408;5;2;-;€2.63m;€525k;-;-;-;-;-;-
Ballers Srl;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=8235;27;-;-;€2.63m;€97k;-;-;-;-;-;-
PFM_AGENCY;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=10704;36;7;-;€2.60m;€72k;Beyoglu;1532237875, Istanbul;9,05446E+11;;payam.bzr9@gmail.com;
Arena Sports Management Ltd.;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=1804;9;6;-;€2.60m;€289k;-;-;-;-;-;-
Ricky Schanks;United States;https://www.transfermarkt.com/berater/beraterfirma?id=1717;14;5;-;€2.60m;€186k;-;-;-;-;-;-
Cemal Tasli;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=5998;12;2;-;€2.60m;€217k;-;-;-;-;-;-
ZAKA 77;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=12232;7;1;-;€2.60m;€371k;-;-;32489648680;-;agencyzaka77@hotmail.com;-
Fabián Bustos;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=8809;2;1;-;€2.60m;€1.30m;-;-;-;-;-;-
Paulo Barbosa;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=726;20;1;-;€2.60m;€130k;-;-;-;-;-;-
Amala consulenze sportive;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=6135;63;1;-;€2.60m;€41k;-;-;-;-;-;-
CAS SCOUTING SRL;Romania;https://www.transfermarkt.com/berater/beraterfirma?id=6291;20;7;1;€2.58m;€129k;-;-;-;-;-;-
REGIS MARQUES CHEDID SPORTS;Paraguay;https://www.transfermarkt.com/berater/beraterfirma?id=8352;9;6;-;€2.58m;€286k;-;-;-;-;-;-
Soccer-Solutions;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=2513;27;5;-;€2.58m;€95k;-;-;-;-;-;-
New Star Sport Promotion;Togo;https://www.transfermarkt.com/berater/beraterfirma?id=1119;6;1;-;€2.58m;€429k;-;-;-;-;-;-
Silvio Sandri;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=7820;21;7;-;€2.57m;€122k;-;-;-;-;-;-
CENTRAL Agencia Deportiva S.A.S;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=6061;10;5;-;€2.55m;€255k;-;-;-;-;-;-
NSPORTS & bGROUP;United States;https://www.transfermarkt.com/berater/beraterfirma?id=9884;4;4;1;€2.55m;€638k;-;-;-;-;-;-
Guti Football;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=6586;6;2;-;€2.55m;€425k;-;-;-;-;-;-
MP Football Scouting;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=9317;92;-;-;€2.53m;€28k;-;-;-;-;-;-
MARGVO SPORTS;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=7802;12;7;-;€2.53m;€210k;-;-;-;-;-;-
Black Diamond Invests & Participations;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=7530;4;2;-;€2.53m;€631k;-;-;-;-;-;-
Talento Agencia Deportiva;Bolivia;https://www.transfermarkt.com/berater/beraterfirma?id=9443;16;12;-;€2.50m;€156k;-;-;-;-;-;-
Mehdi Khorrami;Iran;https://www.transfermarkt.com/berater/beraterfirma?id=8498;15;8;-;€2.50m;€167k;-;-;-;-;-;-
FB Sport Gestao de Negocios LTDA;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=12325;2;2;-;€2.50m;€1.25m;-;-;-;-;-;-
GOLDEN 7 SOCCER;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=11474;2;2;-;€2.50m;€1.25m;-;-;-;-;-;-
CJ PRONK MANAGEMENT P.C.;Greece;https://www.transfermarkt.com/berater/beraterfirma?id=7924;1;1;-;€2.50m;€2.50m;270str. Lenorman;10443, Athens;3,06986E+11;3,06975E+11;info@cjpronk.com;www.cjpronk.com
Yiğit Oruç;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=6664;11;1;-;€2.50m;€227k;-;-;-;-;-;-
Premifoot Athletes Agency;Malta;https://www.transfermarkt.com/berater/beraterfirma?id=12377;2;1;3;€2.50m;€1.25m;-;-;-;-;-;-
Thomas Meunier;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=10893;1;1;1;€2.50m;€2.50m;-;-;-;-;-;-
I'm Sport Management GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=9650;1;1;-;€2.50m;€2.50m;-;-;-;-;-;-
Yves Lohan Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=10810;1;1;-;€2.50m;€2.50m;-;-;-;-;-;-
Senol Tosun Sportmanagement;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=10766;1;1;-;€2.50m;€2.50m;-;-;-;-;-;-
GB Sports Talentum;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=7114;1;1;-;€2.50m;€2.50m;-;-;-;-;-;-
IVECA GROUP;France;https://www.transfermarkt.com/berater/beraterfirma?id=10236;13;-;1;€2.50m;€192k;-;-;-;-;-;-
Dimitrij Valiachmetov;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=5281;16;4;-;€2.49m;€155k;-;-;-;-;-;-
Ab9sportmanagement & Counsulting;Macedonia;https://www.transfermarkt.com/berater/beraterfirma?id=7949;9;8;-;€2.48m;€275k;-;-;-;-;-;-
Futbol Pro Management;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=6629;12;6;-;€2.48m;€206k;-;-;-;-;-;-
TLS;Korea, South;https://www.transfermarkt.com/berater/beraterfirma?id=11416;16;5;-;€2.48m;€155k;-;-;-;-;-;-
EUROPE SPORTS GROUP;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=1635;19;5;-;€2.48m;€130k;-;-;-;-;-;-
Louie Anthony Sports Limited;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=11937;9;3;-;€2.48m;€275k;-;-;-;-;-;-
JPJ Management;Poland;https://www.transfermarkt.com/berater/beraterfirma?id=5461;23;9;-;€2.45m;€107k;-;-;-;-;-;-
Gold Talent Agency;Egypt;https://www.transfermarkt.com/berater/beraterfirma?id=8797;8;7;-;€2.45m;€306k;-;-;-;-;-;-
CZECH SPORT CONSULTING s.r.o.;Czech Republic;https://www.transfermarkt.com/berater/beraterfirma?id=6399;29;5;-;€2.45m;€84k;-;-;-;-;-;-
me(h)rsport GmbH & Co. KG;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=1741;20;5;-;€2.45m;€123k;-;-;-;-;-;-
Futpro11 Football Agency;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=11737;5;2;-;€2.45m;€490k;-;-;-;-;-;-
Estrella Sports Group;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=11843;7;1;-;€2.45m;€350k;-;-;-;-;-;-
Quinas Sport;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=9472;4;1;-;€2.45m;€613k;-;-;-;-;-;-
TURKOVIĆ SPORT AGENCY;Bosnia-Herzegovina;https://www.transfermarkt.com/berater/beraterfirma?id=6017;20;7;-;€2.43m;€121k;-;-;-;-;-;-
SPM Sport Players Manangement;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=12127;8;5;1;€2.43m;€303k;Mar Artico 1227;11200, Montevideo;59895753051;;-;
STAG Management;United States;https://www.transfermarkt.com/berater/beraterfirma?id=7127;19;1;-;€2.43m;€128k;-;-;-;-;-;-
Don Badres Management;Indonesia;https://www.transfermarkt.com/berater/beraterfirma?id=9971;35;14;5;€2.42m;€69k;-;-;-;-;-;-
Next Level Global Recruiting;United States;https://www.transfermarkt.com/berater/beraterfirma?id=10227;13;6;-;€2.41m;€185k;-;-;-;-;-;-
Globall Sport Limited SRL;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=6243;13;5;1;€2.40m;€185k;-;-;-;-;-;-
Republic Sports Management;Australia;https://www.transfermarkt.com/berater/beraterfirma?id=7350;11;4;2;€2.40m;€218k;PO Box 437, Cherrybrook;2126, Sydney;;;-;republicmgt.com
Image International Managers Agency;Peru;https://www.transfermarkt.com/berater/beraterfirma?id=84;10;4;-;€2.40m;€240k;-;-;-;-;-;-
BGM Sport d.o.o.;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=7149;11;3;-;€2.40m;€218k;-;-;-;-;-;-
FC Players;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=11597;19;3;-;€2.40m;€126k;-;-;-;-;-;-
2eleven Sports Marketing Agency;United Arab Emirates;https://www.transfermarkt.com/berater/beraterfirma?id=7607;8;2;-;€2.40m;€300k;-;-;-;-;sam@2eleven.ae;-
Fantastic Football Agency LTD;Israel;https://www.transfermarkt.com/berater/beraterfirma?id=4677;4;2;-;€2.40m;€600k;-;-;-;-;-;-
RCF SPORTS E MARKETING ESPORTIVO;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=6344;20;2;-;€2.40m;€120k;-;-;-;-;-;-
Tallas Sport Management - TSM;France;https://www.transfermarkt.com/berater/beraterfirma?id=11070;8;2;-;€2.40m;€300k;-;-;-;-;-;-
Soccer Sport International;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=3162;6;2;-;€2.40m;€400k;-;-;-;-;-;-
MGM TALENTS;France;https://www.transfermarkt.com/berater/beraterfirma?id=8181;15;-;-;€2.40m;€160k;-;-;-;-;-;-
Eleven Power Agency;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=11412;32;8;-;€2.39m;€75k;-;-;-;-;-;-
360 Sport Management;Thailand;https://www.transfermarkt.com/berater/beraterfirma?id=5444;21;13;-;€2.38m;€113k;-;-;-;-;-;-
Gol Premium;Ecuador;https://www.transfermarkt.com/berater/beraterfirma?id=11471;14;9;-;€2.38m;€170k;-;-;5,9399E+11;-;info@golpremium.com;golpremium.com
First Players Agency SL;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=7488;12;5;1;€2.38m;€198k;-;-;-;-;-;-
Tommaso Manicone;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=5280;15;3;-;€2.38m;€158k;-;-;-;-;-;-
Emerald Sports Consult;Bulgaria;https://www.transfermarkt.com/berater/beraterfirma?id=4683;18;2;-;€2.38m;€132k;-;-;-;-;-;-
RSWORLDWIDE;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=6945;31;1;-;€2.38m;€77k;-;-;-;-;-;-
PASS Menajerlik ve Danışmanlık AS;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=10935;36;6;-;€2.36m;€66k;-;-;-;-;-;-
HEARIS RAKHA AGENCY;Indonesia;https://www.transfermarkt.com/berater/beraterfirma?id=9625;36;15;1;€2.35m;€65k;-;-;-;-;-;-
Football Service Agency;Slovakia;https://www.transfermarkt.com/berater/beraterfirma?id=1684;9;4;-;€2.35m;€261k;-;-;-;-;-;-
Rivorelli Assessoria e Propaganda Esportiva LTDA;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=6295;3;2;-;€2.35m;€783k;-;-;-;-;-;-
SM Football;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=11569;6;2;-;€2.35m;€392k;-;-;-;-;-;-
ONE1;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=10719;18;-;-;€2.35m;€131k;-;-;-;-;-;-
Football Talents Agency;Egypt;https://www.transfermarkt.com/berater/beraterfirma?id=7778;24;14;-;€2.33m;€97k;-;-;-;-;-;-
Blessed Soccer;Honduras;https://www.transfermarkt.com/berater/beraterfirma?id=7256;17;13;-;€2.33m;€137k;-;-;-;-;-;-
B&B Sports Management;Netherlands;https://www.transfermarkt.com/berater/beraterfirma?id=3061;26;1;-;€2.33m;€89k;-;-;-;-;-;-
21 Football Management;Albania;https://www.transfermarkt.com/berater/beraterfirma?id=7341;14;8;-;€2.30m;€164k;-;-;-;-;-;-
Soccer Republic;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=10129;9;5;-;€2.30m;€256k;-;-;-;-;-;-
Carlos Villalba Perdomo;Uruguay;https://www.transfermarkt.com/berater/beraterfirma?id=9738;8;4;-;€2.28m;€284k;-;-;-;-;-;-
Lions Sports AG & Partners;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=5181;6;4;-;€2.26m;€377k;-;-;-;-;-;-
sportstar agentur;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=4932;41;11;-;€2.26m;€55k;-;-;-;-;-;-
Dedra Football Agency;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=4284;19;12;-;€2.25m;€118k;-;-;-;-;-;-
Majestic management multi-global concept limited;Nigeria;https://www.transfermarkt.com/berater/beraterfirma?id=6250;36;8;1;€2.25m;€63k;-;-;-;-;-;-
Foot Marketing & Consulting;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=7016;85;7;-;€2.25m;€26k;-;-;-;-;-;-
TJ Sports;Korea, South;https://www.transfermarkt.com/berater/beraterfirma?id=6365;14;7;-;€2.25m;€161k;-;-;-;-;-;-
SOCCER TALENT MANAGEMENT;Mexico;https://www.transfermarkt.com/berater/beraterfirma?id=3101;14;6;-;€2.25m;€161k;-;-;-;-;-;-
PPA WORLD - Paskal Papadopoulos;Cyprus;https://www.transfermarkt.com/berater/beraterfirma?id=431;18;4;-;€2.25m;€125k;-;-;-;-;-;-
Become The MVP;France;https://www.transfermarkt.com/berater/beraterfirma?id=7029;9;3;-;€2.25m;€250k;-;-;-;-;-;-
Fifteen Eleven Management;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=4271;32;2;-;€2.25m;€70k;-;-;-;-;-;-
Guadagno Sports;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=10501;14;2;-;€2.25m;€161k;-;-;-;-;-;-
KAI Football;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=12481;17;2;-;€2.25m;€132k;-;-;-;-;-;-
FIRST;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=7683;4;1;3;€2.25m;€563k;VIA CORTI 5;6828, BALERNA;-;-;media@firs1.com;www.firs1.com
REOL Football Management;Romania;https://www.transfermarkt.com/berater/beraterfirma?id=9566;17;5;-;€2.23m;€131k;-;-;-;-;-;-
Oxysports Talent Management;Portugal;https://www.transfermarkt.com/berater/beraterfirma?id=6190;23;4;-;€2.23m;€97k;-;-;-;-;-;-
Gold and Foot;Türkiye;https://www.transfermarkt.com/berater/beraterfirma?id=12244;8;3;-;€2.23m;€278k;-;Istanbul;33698272367;;-;www.goldandfoot.com
I One Sports Agency;Malaysia;https://www.transfermarkt.com/berater/beraterfirma?id=5724;20;2;-;€2.23m;€111k;-;-;-;-;-;-
GOOD ADVICE Sports Management GmbH;Germany;https://www.transfermarkt.com/berater/beraterfirma?id=10926;10;1;-;€2.23m;€223k;-;-;-;-;-;-
DSG-Dekic Sport Group;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=5809;7;-;-;€2.23m;€318k;-;-;-;-;-;-
A2SPORTSMANAGEMENT;Colombia;https://www.transfermarkt.com/berater/beraterfirma?id=7383;19;8;-;€2.20m;€116k;-;-;-;-;-;-
BowerCotton & Shylov Law Firm;Ukraine;https://www.transfermarkt.com/berater/beraterfirma?id=7521;30;8;-;€2.20m;€73k;-;-;-;-;-;-
5 PRO SPORT AGENCY;Croatia;https://www.transfermarkt.com/berater/beraterfirma?id=5664;13;7;-;€2.20m;€169k;-;-;-;-;-;-
PGB SPORTS MANAGEMENT LTDA;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=7726;14;2;-;€2.20m;€157k;-;-;-;-;-;-
TaP23;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=11926;7;1;-;€2.20m;€314k;-;-;-;-;-;-
Kael Grimaldi;Italy;https://www.transfermarkt.com/berater/beraterfirma?id=5127;20;1;-;€2.20m;€110k;-;-;-;-;-;-
Skilbred Sports Agency;Norway;https://www.transfermarkt.com/berater/beraterfirma?id=12113;12;1;-;€2.20m;€183k;-;-;-;-;-;-
Vibrant Sports Group;India;https://www.transfermarkt.com/berater/beraterfirma?id=8436;80;4;-;€2.18m;€27k;-;-;-;-;-;-
Chris Brandon;United Kingdom;https://www.transfermarkt.com/berater/beraterfirma?id=7315;19;11;-;€2.18m;€114k;-;-;-;-;-;-
JMG Sports Management;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=8012;22;8;-;€2.18m;€99k;-;-;-;-;-;-
JK9 SPORT;Bosnia-Herzegovina;https://www.transfermarkt.com/berater/beraterfirma?id=5855;15;6;-;€2.18m;€145k;-;-;-;-;-;-
DreamWorld Sports & Entertainment LLC;United States;https://www.transfermarkt.com/berater/beraterfirma?id=5996;6;3;-;€2.18m;€363k;-;-;-;-;-;-
H.O.L.M. Football Family;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=3931;28;17;-;€2.17m;€78k;-;-;-;-;-;-
Le Sech;France;https://www.transfermarkt.com/berater/beraterfirma?id=5249;9;-;-;€2.16m;€240k;-;-;-;-;-;-
INSPORTCITY MANAGEMENT LTD;Cyprus;https://www.transfermarkt.com/berater/beraterfirma?id=3793;13;8;-;€2.15m;€165k;-;-;-;-;-;-
Striker Sports Management;Russia;https://www.transfermarkt.com/berater/beraterfirma?id=6464;10;6;-;€2.15m;€215k;-;-;-;-;-;-
2Touch International Pte Ltd;Singapore;https://www.transfermarkt.com/berater/beraterfirma?id=5137;23;5;-;€2.15m;€93k;-;-;-;-;-;-
Future Consult;Denmark;https://www.transfermarkt.com/berater/beraterfirma?id=12703;7;4;1;€2.15m;€307k;-;-;-;-;-;-
Irfan Redžepagić;Bosnia-Herzegovina;https://www.transfermarkt.com/berater/beraterfirma?id=2855;5;3;-;€2.15m;€430k;-;-;-;-;-;-
NextPro Sports Management;Denmark;https://www.transfermarkt.com/berater/beraterfirma?id=8810;2;2;-;€2.15m;€1.08m;-;-;-;-;-;-
G&G13 Sport AG;Switzerland;https://www.transfermarkt.com/berater/beraterfirma?id=9019;14;2;-;€2.15m;€154k;-;-;-;-;-;-
7 Days Football LKM;United States;https://www.transfermarkt.com/berater/beraterfirma?id=12067;13;11;-;€2.13m;€163k;-;-;-;-;-;-
GALAXY OF SPORTS;Serbia;https://www.transfermarkt.com/berater/beraterfirma?id=12094;10;5;-;€2.13m;€213k;Hercega Stjepana 15;11000, Belgrade;+381 60 7575747;-;galaxyofsports2023@gmail.com;-
LNBSoccer;Argentina;https://www.transfermarkt.com/berater/beraterfirma?id=10529;22;5;-;€2.13m;€97k;-;-;-;-;-;-
Ilomaco Limited;Cyprus;https://www.transfermarkt.com/berater/beraterfirma?id=11536;6;4;-;€2.13m;€354k;-;-;-;-;-;-
DANIEL RODRIGUEZ LOZANO;Spain;https://www.transfermarkt.com/berater/beraterfirma?id=6009;13;3;1;€2.13m;€163k;-;-;-;-;-;-
Footballlife Management Players;Brazil;https://www.transfermarkt.com/berater/beraterfirma?id=6336;11;3;-;€2.13m;€193k;-;-;-;-;-;-
U-Talents Management;Belgium;https://www.transfermarkt.com/berater/beraterfirma?id=12574;4;2;-;€2.13m;€531k;-;-;-;-;-;-
